Model,Model Number,Completeness,Sequence,Horizon,WindowSize,MAE,Anomaly Percentage,Anomaly Threshold
LSTM,52,1,432,24,6,0.73,0.000,4.8
LSTM,53,1,432,24,12,1.03,0.059,6.8
LSTM,54,1,432,24,24,0.83,0.000,5
LSTM,55,1,432,24,48,0.76,0.000,5.1
LSTM,56,1,432,24,96,0.80,0.000,4.6
Linear,57,1,648,3,1,0.26,0.234,1.9
LSTM,58,1,648,3,3,0.30,0.015,2.4
LSTM,59,1,648,3,6,0.25,0.234,2.1
LSTM,60,1,648,3,12,0.38,0.000,3.4
LSTM,61,1,648,3,24,0.33,0.000,2.8
LSTM,62,1,648,3,48,0.33,0.059,2.8
LSTM,63,1,648,3,96,1.58,0.000,9.6
Linear,64,1,648,6,1,0.43,0.000,2.9
LSTM,65,1,648,6,3,0.50,0.000,4
LSTM,66,1,648,6,6,0.51,0.000,4.1
LSTM,67,1,648,6,12,0.52,0.000,3.8
LSTM,68,1,648,6,24,0.48,0.000,3.5
LSTM,69,1,648,6,48,0.46,0.000,3.7
LSTM,70,1,648,6,96,0.48,0.000,4
Linear,71,1,648,12,1,0.65,0.000,4.1
LSTM,72,1,648,12,3,0.69,0.000,4.7
LSTM,73,1,648,12,6,0.70,0.161,4.9
LSTM,74,1,648,12,12,0.70,0.000,4.5
LSTM,75,1,648,12,24,0.68,0.000,4.2
LSTM,76,1,648,12,48,0.64,0.000,4.5
LSTM,77,1,648,12,96,0.76,0.000,5
Linear,78,1,648,24,1,0.77,0.000,4.8
LSTM,79,1,648,24,3,0.78,0.000,4.8
LSTM,80,1,648,24,6,0.77,0.000,4.8
LSTM,81,1,648,24,12,0.78,0.000,4.8
LSTM,82,1,648,24,24,0.60,0.000,4.6
LSTM,83,1,648,24,48,0.62,0.000,4.3
LSTM,84,1,648,24,96,0.75,0.000,4.7
Linear,85,1,864,3,1,0.26,0.234,1.9
LSTM,86,1,864,3,3,0.27,0.073,2.2
LSTM,87,1,864,3,6,0.26,0.234,2.1
LSTM,88,1,864,3,12,0.44,0.000,4.2
LSTM,89,1,864,3,24,0.76,0.000,6.9
LSTM,90,1,864,3,48,0.37,0.250,3.6
LSTM,91,1,864,3,96,0.30,0.015,2.5
Linear,92,1,864,6,1,0.43,0.000,2.9
LSTM,93,1,864,6,3,0.50,0.000,3.9
LSTM,94,1,864,6,6,0.51,0.000,3.9
LSTM,95,1,864,6,12,0.46,0.000,3.3
LSTM,96,1,864,6,24,0.49,0.000,4.1
LSTM,97,1,864,6,48,0.58,0.000,3.6
LSTM,98,1,864,6,96,0.77,0.015,4.7
Linear,99,1,864,12,1,0.65,0.000,4.1
LSTM,100,1,864,12,3,0.69,0.000,4.6
LSTM,101,1,864,12,6,0.73,0.176,4.9
LSTM,102,1,864,12,12,0.65,0.000,4.5
LSTM,103,1,864,12,24,0.71,0.000,4.5
LSTM,104,1,864,12,48,0.66,0.000,4.6
LSTM,105,1,864,12,96,0.69,0.000,4.4
Linear,106,1,864,24,1,0.77,0.000,4.8
LSTM,107,1,864,24,3,0.78,0.000,4.8
LSTM,108,1,864,24,6,0.74,0.000,4.8
LSTM,109,1,864,24,12,0.84,0.000,5.1
LSTM,110,1,864,24,24,0.86,0.000,6
LSTM,111,1,864,24,48,0.82,0.000,5.1
LSTM,112,1,864,24,96,1.18,0.000,8
Linear,113,0.98,694,3,1,0.24,0.205,1.9
LSTM,114,0.98,694,3,3,0.22,0.205,1.9
LSTM,115,0.98,694,3,6,0.23,0.219,1.9
LSTM,116,0.98,694,3,12,0.21,0.293,1.8
LSTM,117,0.98,694,3,24,0.22,0.308,1.7
LSTM,118,0.98,694,3,48,0.22,0.294,1.7
LSTM,119,0.98,694,3,96,0.83,0.000,4
Linear,120,0.98,694,6,1,0.39,0.029,2.7
LSTM,121,0.98,694,6,3,0.35,0.088,2.6
LSTM,122,0.98,694,6,6,0.33,0.088,2.7
LSTM,123,0.98,694,6,12,0.28,0.249,2.3
LSTM,124,0.98,694,6,24,0.36,0.103,2.3
LSTM,125,0.98,694,6,48,0.29,0.147,2.3
LSTM,126,0.98,694,6,96,0.30,0.104,2.5
Linear,127,0.98,694,12,1,0.67,0.000,3.6
LSTM,128,0.98,694,12,3,0.56,0.000,3.6
LSTM,129,0.98,694,12,6,0.47,0.000,3.5
LSTM,130,0.98,694,12,12,0.39,0.000,2.9
LSTM,131,0.98,694,12,24,0.35,0.000,2.7
LSTM,132,0.98,694,12,48,0.38,0.000,3
LSTM,133,0.98,694,12,96,0.44,0.000,3
Linear,134,0.98,694,24,1,0.86,0.000,3.9
LSTM,135,0.98,694,24,3,0.73,0.000,4.2
LSTM,136,0.98,694,24,6,0.79,0.000,4
LSTM,137,0.98,694,24,12,0.54,0.000,3.5
LSTM,138,0.98,694,24,24,0.49,0.000,3.5
LSTM,139,0.98,694,24,48,0.60,0.000,4.1
LSTM,140,0.98,694,24,96,0.83,0.000,3.9
Linear,141,0.98,1388,3,1,0.24,0.205,1.9
LSTM,142,0.98,1388,3,3,0.22,0.190,1.9
LSTM,143,0.98,1388,3,6,0.22,0.219,1.9
LSTM,144,0.98,1388,3,12,0.20,0.351,1.7
LSTM,145,0.98,1388,3,24,0.24,0.161,1.9
LSTM,146,0.98,1388,3,48,0.27,0.191,2
LSTM,147,0.98,1388,3,96,0.23,0.177,1.9
Linear,148,0.98,1388,6,1,0.39,0.029,2.7
LSTM,149,0.98,1388,6,3,0.35,0.059,2.6
LSTM,150,0.98,1388,6,6,0.33,0.132,2.6
LSTM,151,0.98,1388,6,12,0.29,0.146,2.4
LSTM,152,0.98,1388,6,24,0.38,0.073,2.5
LSTM,153,0.98,1388,6,48,0.28,0.103,2.4
LSTM,154,0.98,1388,6,96,0.28,0.133,2.6
Linear,155,0.98,1388,12,1,0.67,0.000,3.6
LSTM,156,0.98,1388,12,3,0.59,0.000,3.5
LSTM,157,0.98,1388,12,6,0.44,0.000,3.4
LSTM,158,0.98,1388,12,12,0.38,0.015,2.9
LSTM,159,0.98,1388,12,24,0.36,0.015,2.8
LSTM,160,0.98,1388,12,48,0.63,0.000,3.6
LSTM,161,0.98,1388,12,96,0.51,0.000,3.2
Linear,162,0.98,1388,24,1,0.86,0.000,3.9
LSTM,163,0.98,1388,24,3,0.72,0.015,4.3
LSTM,164,0.98,1388,24,6,0.59,0.015,3.9
LSTM,165,0.98,1388,24,12,0.53,0.000,3.5
LSTM,166,0.98,1388,24,24,0.49,0.000,3.4
LSTM,167,0.98,1388,24,48,0.55,0.000,4.1
LSTM,168,0.98,1388,24,96,0.56,0.000,4.5
Linear,169,0.98,2082,3,1,0.24,0.205,1.9
LSTM,170,0.98,2082,3,3,0.23,0.190,1.9
LSTM,171,0.98,2082,3,6,0.23,0.263,1.9
LSTM,172,0.98,2082,3,12,0.21,0.263,1.8
LSTM,173,0.98,2082,3,24,0.20,0.264,1.7
LSTM,174,0.98,2082,3,48,0.22,0.147,1.8
LSTM,175,0.98,2082,3,96,0.20,0.207,1.8
Linear,176,0.98,2082,6,1,0.39,0.029,2.7
LSTM,177,0.98,2082,6,3,0.36,0.073,2.7
LSTM,178,0.98,2082,6,6,0.31,0.088,2.6
LSTM,179,0.98,2082,6,12,0.27,0.264,2.3
LSTM,180,0.98,2082,6,24,0.26,0.191,2.1
LSTM,181,0.98,2082,6,48,0.32,0.162,2.6
LSTM,182,0.98,2082,6,96,0.37,0.104,2.8
Linear,183,0.98,2082,12,1,0.67,0.000,3.6
LSTM,184,0.98,2082,12,3,0.55,0.000,3.5
LSTM,185,0.98,2082,12,6,0.47,0.000,3.4
LSTM,186,0.98,2082,12,12,0.40,0.059,3.1
LSTM,187,0.98,2082,12,24,0.42,0.000,2.7
LSTM,188,0.98,2082,12,48,0.39,0.000,3.3
LSTM,189,0.98,2082,12,96,0.40,0.000,2.7
Linear,190,0.98,2082,24,1,0.86,0.000,3.9
LSTM,191,0.98,2082,24,3,0.71,0.000,4.4
LSTM,192,0.98,2082,24,6,0.75,0.000,4
LSTM,193,0.98,2082,24,12,0.51,0.000,3.6
LSTM,194,0.98,2082,24,24,0.48,0.000,3.5
LSTM,195,0.98,2082,24,48,0.52,0.000,4.1
LSTM,196,0.98,2082,24,96,0.48,0.000,3.5
Linear,197,0.98,2776,3,1,0.24,0.205,1.9
LSTM,198,0.98,2776,3,3,0.23,0.175,1.9
LSTM,199,0.98,2776,3,6,0.22,0.263,1.9
LSTM,200,0.98,2776,3,12,0.21,0.293,1.8
LSTM,201,0.98,2776,3,24,0.23,0.293,1.8
LSTM,202,0.98,2776,3,48,0.24,0.176,1.8
LSTM,203,0.98,2776,3,96,0.22,0.103,1.9
Linear,204,0.98,2776,6,1,0.39,0.029,2.7
LSTM,205,0.98,2776,6,3,0.43,0.015,2.8
LSTM,206,0.98,2776,6,6,0.33,0.117,2.6
LSTM,207,0.98,2776,6,12,0.32,0.132,2.4
LSTM,208,0.98,2776,6,24,0.33,0.088,2.3
LSTM,209,0.98,2776,6,48,0.27,0.118,2.4
LSTM,210,0.98,2776,6,96,0.38,0.044,2.5
Linear,211,0.98,2776,12,1,0.67,0.000,3.6
LSTM,212,0.98,2776,12,3,0.56,0.029,3.6
LSTM,213,0.98,2776,12,6,0.46,0.000,3.5
LSTM,214,0.98,2776,12,12,0.40,0.000,3.1
LSTM,215,0.98,2776,12,24,0.37,0.029,2.8
LSTM,216,0.98,2776,12,48,0.42,0.000,3.3
LSTM,217,0.98,2776,12,96,0.43,0.000,3.5
Linear,218,0.98,2776,24,1,0.86,0.000,3.9
LSTM,219,0.98,2776,24,3,0.77,0.000,4.3
LSTM,220,0.98,2776,24,6,0.75,0.000,4
LSTM,221,0.98,2776,24,12,0.52,0.000,3.8
LSTM,222,0.98,2776,24,24,0.46,0.000,3.5
LSTM,223,0.98,2776,24,48,0.52,0.000,4.2
LSTM,224,0.98,2776,24,96,0.54,0.000,4.3
Linear,225,0.98,3470,3,1,0.24,0.205,1.9
LSTM,226,0.98,3470,3,3,0.22,0.205,1.9
LSTM,227,0.98,3470,3,6,0.22,0.322,1.9
LSTM,228,0.98,3470,3,12,0.21,0.249,1.9
LSTM,229,0.98,3470,3,24,0.20,0.249,1.7
LSTM,230,0.98,3470,3,48,0.22,0.294,1.7
LSTM,231,0.98,3470,3,96,0.19,0.310,1.7
Linear,232,0.98,3470,6,1,0.39,0.029,2.7
LSTM,233,0.98,3470,6,3,0.35,0.044,2.6
LSTM,234,0.98,3470,6,6,0.32,0.190,2.5
LSTM,235,0.98,3470,6,12,0.28,0.278,2.4
LSTM,236,0.98,3470,6,24,0.39,0.015,2.8
LSTM,237,0.98,3470,6,48,0.30,0.118,2.3
LSTM,238,0.98,3470,6,96,0.85,0.000,4
Linear,239,0.98,3470,12,1,0.67,0.000,3.6
LSTM,240,0.98,3470,12,3,0.55,0.000,3.6
LSTM,241,0.98,3470,12,6,0.45,0.000,3.5
LSTM,242,0.98,3470,12,12,0.39,0.044,3.1
LSTM,243,0.98,3470,12,24,0.38,0.000,2.5
LSTM,244,0.98,3470,12,48,0.35,0.000,2.8
LSTM,245,0.98,3470,12,96,0.38,0.000,3.1
Linear,246,0.98,3470,24,1,0.86,0.000,3.9
LSTM,247,0.98,3470,24,3,0.75,0.000,4.3
LSTM,248,0.98,3470,24,6,0.61,0.015,3.9
LSTM,249,0.98,3470,24,12,0.67,0.763,5.1
LSTM,250,0.98,3470,24,24,0.42,0.000,3.4
LSTM,251,0.98,3470,24,48,0.43,0.000,3.5
LSTM,252,0.98,3470,24,96,0.58,0.000,4.4
Linear,253,0.96,1288,3,1,0.25,0.234,1.9
LSTM,254,0.96,1288,3,3,0.25,0.146,2
LSTM,255,0.96,1288,3,6,0.24,0.161,2
LSTM,256,0.96,1288,3,12,0.24,0.234,2
LSTM,257,0.96,1288,3,24,0.21,0.220,1.8
LSTM,258,0.96,1288,3,48,0.21,0.162,1.9
LSTM,259,0.96,1288,3,96,0.26,0.163,2
Linear,260,0.96,1288,6,1,0.40,0.015,2.8
LSTM,261,0.96,1288,6,3,0.39,0.029,2.8
LSTM,262,0.96,1288,6,6,0.37,0.015,2.9
LSTM,263,0.96,1288,6,12,0.34,0.029,2.7
LSTM,264,0.96,1288,6,24,0.32,0.029,2.6
LSTM,265,0.96,1288,6,48,0.29,0.044,2.6
LSTM,266,0.96,1288,6,96,0.68,0.000,4.8
Linear,267,0.96,1288,12,1,0.63,0.000,3.9
LSTM,268,0.96,1288,12,3,0.61,0.000,4
LSTM,269,0.96,1288,12,6,0.57,0.000,3.8
LSTM,270,0.96,1288,12,12,0.51,0.000,3.5
LSTM,271,0.96,1288,12,24,0.43,0.000,3.4
LSTM,272,0.96,1288,12,48,0.44,0.000,3.5
LSTM,273,0.96,1288,12,96,0.43,0.000,3.4
Linear,274,0.96,1288,24,1,0.77,0.000,4.8
LSTM,275,0.96,1288,24,3,0.72,0.000,4.8
LSTM,276,0.96,1288,24,6,0.64,0.000,4.4
LSTM,277,0.96,1288,24,12,0.55,0.000,4
LSTM,278,0.96,1288,24,24,0.57,0.000,4.4
LSTM,279,0.96,1288,24,48,0.58,0.000,4.4
LSTM,280,0.96,1288,24,96,0.76,0.000,5.3
Linear,281,0.96,2576,3,1,0.25,0.234,1.9
LSTM,282,0.96,2576,3,3,0.25,0.146,2
LSTM,283,0.96,2576,3,6,0.23,0.219,1.9
LSTM,284,0.96,2576,3,12,0.24,0.146,2
LSTM,285,0.96,2576,3,24,0.23,0.220,1.9
LSTM,286,0.96,2576,3,48,0.23,0.338,2.2
LSTM,287,0.96,2576,3,96,0.33,0.843,4.4
Linear,288,0.96,2576,6,1,0.40,0.015,2.8
LSTM,289,0.96,2576,6,3,0.41,0.015,2.9
LSTM,290,0.96,2576,6,6,0.38,0.073,4.5
LSTM,291,0.96,2576,6,12,0.37,0.029,2.8
LSTM,292,0.96,2576,6,24,0.31,0.059,2.6
LSTM,293,0.96,2576,6,48,0.45,0.000,3.4
LSTM,294,0.96,2576,6,96,0.40,0.015,2.9
Linear,295,0.96,2576,12,1,0.63,0.000,3.9
LSTM,296,0.96,2576,12,3,0.62,0.000,4
LSTM,297,0.96,2576,12,6,0.54,0.000,3.8
LSTM,298,0.96,2576,12,12,0.46,0.000,3.4
LSTM,299,0.96,2576,12,24,0.43,0.000,3.2
LSTM,300,0.96,2576,12,48,0.51,0.000,3.9
LSTM,301,0.96,2576,12,96,0.43,0.000,3.5
Linear,302,0.96,2576,24,1,0.77,0.000,4.8
LSTM,303,0.96,2576,24,3,0.76,0.000,4.8
LSTM,304,0.96,2576,24,6,0.70,0.000,4.6
LSTM,305,0.96,2576,24,12,0.52,0.000,4.1
LSTM,306,0.96,2576,24,24,0.48,0.000,4.1
LSTM,307,0.96,2576,24,48,0.50,0.000,4
LSTM,308,0.96,2576,24,96,0.74,0.000,4.9
Linear,309,0.96,3864,3,1,0.25,0.234,1.9
LSTM,310,0.96,3864,3,3,0.26,0.263,2.1
LSTM,311,0.96,3864,3,6,0.25,0.132,2
LSTM,312,0.96,3864,3,12,0.24,0.132,2
LSTM,313,0.96,3864,3,24,0.23,0.147,2.1
LSTM,314,0.96,3864,3,48,0.23,0.191,2.1
LSTM,315,0.96,3864,3,96,0.24,0.177,2
Linear,316,0.96,3864,6,1,0.40,0.015,2.8
LSTM,317,0.96,3864,6,3,0.38,0.029,2.8
LSTM,318,0.96,3864,6,6,0.36,0.044,2.9
LSTM,319,0.96,3864,6,12,0.37,0.059,2.9
LSTM,320,0.96,3864,6,24,0.38,0.249,3
LSTM,321,0.96,3864,6,48,0.33,0.000,3.0
LSTM,322,0.96,3864,6,96,0.35,0.015,2.9
Linear,323,0.96,3864,12,1,0.63,0.000,3.9
LSTM,324,0.96,3864,12,3,0.60,0.000,4
LSTM,325,0.96,3864,12,6,0.55,0.000,3.7
LSTM,326,0.96,3864,12,12,0.45,0.000,3.4
LSTM,327,0.96,3864,12,24,0.63,0.000,4.1
LSTM,328,0.96,3864,12,48,0.41,0.000,3.4
LSTM,329,0.96,3864,12,96,0.50,0.000,3.9
Linear,330,0.96,3864,24,1,0.77,0.000,4.8
LSTM,331,0.96,3864,24,3,0.70,0.000,4.7
LSTM,332,0.96,3864,24,6,0.61,0.000,4.4
LSTM,333,0.96,3864,24,12,0.58,0.000,4.1
LSTM,334,0.96,3864,24,24,0.76,0.000,4.9
LSTM,335,0.96,3864,24,48,0.52,0.000,4
LSTM,336,0.96,3864,24,96,0.60,0.000,4.9
Linear,337,0.96,5152,3,1,0.25,0.234,1.9
LSTM,338,0.96,5152,3,3,0.25,0.234,2.1
LSTM,339,0.96,5152,3,6,0.24,0.190,2
LSTM,340,0.96,5152,3,12,0.24,0.249,2.1
LSTM,341,0.96,5152,3,24,0.27,0.073,2.5
LSTM,342,0.96,5152,3,48,0.26,0.147,2
LSTM,343,0.96,5152,3,96,0.33,0.118,2.2
Linear,344,0.96,5152,6,1,0.40,0.015,2.8
LSTM,345,0.96,5152,6,3,0.39,0.015,2.9
LSTM,346,0.96,5152,6,6,0.36,0.044,2.7
LSTM,347,0.96,5152,6,12,0.36,0.044,2.8
LSTM,348,0.96,5152,6,24,0.31,0.029,2.6
LSTM,349,0.96,5152,6,48,0.36,0.632,3.6
LSTM,350,0.96,5152,6,96,0.48,0.015,3.9
Linear,351,0.96,5152,12,1,0.63,0.000,3.9
LSTM,352,0.96,5152,12,3,0.60,0.000,3.9
LSTM,353,0.96,5152,12,6,0.56,0.000,3.8
LSTM,354,0.96,5152,12,12,0.48,0.000,3.4
LSTM,355,0.96,5152,12,24,0.42,0.000,3.3
LSTM,356,0.96,5152,12,48,0.47,0.015,3.6
LSTM,357,0.96,5152,12,96,0.51,0.000,4.1
Linear,358,0.96,5152,24,1,0.77,0.000,4.8
LSTM,359,0.96,5152,24,3,0.76,0.000,4.8
LSTM,360,0.96,5152,24,6,0.62,0.000,4.3
LSTM,361,0.96,5152,24,12,0.59,0.000,4.1
LSTM,362,0.96,5152,24,24,0.47,0.000,4.1
LSTM,363,0.96,5152,24,48,0.65,0.000,4.5
LSTM,364,0.96,5152,24,96,0.48,0.000,3.9
Linear,365,0.96,6440,3,1,0.25,0.234,1.9
LSTM,366,0.96,6440,3,3,0.25,0.175,2
LSTM,367,0.96,6440,3,6,0.25,0.176,2
LSTM,368,0.96,6440,3,12,0.24,0.146,2
LSTM,369,0.96,6440,3,24,0.23,0.147,2
LSTM,370,0.96,6440,3,48,0.26,0.059,2.1
LSTM,371,0.96,6440,3,96,0.23,0.192,2
Linear,372,0.96,6440,6,1,0.40,0.015,2.8
LSTM,373,0.96,6440,6,3,0.40,0.015,2.9
LSTM,374,0.96,6440,6,6,0.38,0.029,2.8
LSTM,375,0.96,6440,6,12,0.35,0.059,2.9
LSTM,376,0.96,6440,6,24,0.41,0.000,3
LSTM,377,0.96,6440,6,48,0.32,0.088,2.7
LSTM,378,0.96,6440,6,96,0.45,0.000,4.3
Linear,379,0.96,6440,12,1,0.63,0.000,3.9
LSTM,380,0.96,6440,12,3,0.59,0.000,3.9
LSTM,381,0.96,6440,12,6,0.56,0.000,4
LSTM,382,0.96,6440,12,12,0.47,0.000,3.4
LSTM,383,0.96,6440,12,24,0.44,0.000,3.2
LSTM,384,0.96,6440,12,48,0.44,0.000,3.6
LSTM,385,0.96,6440,12,96,0.68,1.465,8.4
Linear,386,0.96,6440,24,1,0.77,0.000,4.8
LSTM,387,0.96,6440,24,3,0.68,0.000,4.7
LSTM,388,0.96,6440,24,6,0.60,0.015,4.4
LSTM,389,0.96,6440,24,12,0.54,0.000,4.2
LSTM,390,0.96,6440,24,24,0.48,0.000,4.2
LSTM,391,0.96,6440,24,48,0.48,0.000,4
LSTM,392,0.96,6440,24,96,0.50,0.000,4
Linear,393,0.94,1810,3,1,0.24,0.219,1.9
LSTM,394,0.94,1810,3,3,0.24,0.161,1.9
LSTM,395,0.94,1810,3,6,0.23,0.161,1.9
LSTM,396,0.94,1810,3,12,0.23,0.146,1.9
LSTM,397,0.94,1810,3,24,0.21,0.191,1.8
LSTM,398,0.94,1810,3,48,0.21,0.220,1.8
LSTM,399,0.94,1810,3,96,0.23,0.133,2
Linear,400,0.94,1810,6,1,0.40,0.015,2.8
LSTM,401,0.94,1810,6,3,0.36,0.044,2.7
LSTM,402,0.94,1810,6,6,0.35,0.015,2.6
LSTM,403,0.94,1810,6,12,0.31,0.015,2.6
LSTM,404,0.94,1810,6,24,0.30,0.000,2.5
LSTM,405,0.94,1810,6,48,0.28,0.000,2.5
LSTM,406,0.94,1810,6,96,0.32,0.030,2.6
Linear,407,0.94,1810,12,1,0.63,0.000,3.9
LSTM,408,0.94,1810,12,3,0.56,0.000,3.8
LSTM,409,0.94,1810,12,6,0.49,0.015,3.5
LSTM,410,0.94,1810,12,12,0.42,0.059,3.5
LSTM,411,0.94,1810,12,24,0.40,0.000,3.3
LSTM,412,0.94,1810,12,48,0.61,0.000,4
LSTM,413,0.94,1810,12,96,0.63,0.015,4
Linear,414,0.94,1810,24,1,0.77,0.000,4.8
LSTM,415,0.94,1810,24,3,0.72,0.000,4.7
LSTM,416,0.94,1810,24,6,0.59,0.000,4.2
LSTM,417,0.94,1810,24,12,0.62,0.000,4.3
LSTM,418,0.94,1810,24,24,0.57,0.073,4.5
LSTM,419,0.94,1810,24,48,0.46,0.000,3.8
LSTM,420,0.94,1810,24,96,0.47,0.000,3.9
Linear,421,0.94,3620,3,1,0.24,0.219,1.9
LSTM,422,0.94,3620,3,3,0.24,0.161,2
LSTM,423,0.94,3620,3,6,0.23,0.146,1.9
LSTM,424,0.94,3620,3,12,0.24,0.263,2.1
LSTM,425,0.94,3620,3,24,0.21,0.191,1.9
LSTM,426,0.94,3620,3,48,0.21,0.235,1.8
LSTM,427,0.94,3620,3,96,0.26,0.192,2.5
Linear,428,0.94,3620,6,1,0.40,0.015,2.8
LSTM,429,0.94,3620,6,3,0.37,0.088,2.9
LSTM,430,0.94,3620,6,6,0.34,0.044,2.6
LSTM,431,0.94,3620,6,12,0.31,0.000,2.5
LSTM,432,0.94,3620,6,24,0.30,0.044,2.3
LSTM,433,0.94,3620,6,48,0.29,0.000,2.4
LSTM,434,0.94,3620,6,96,0.40,0.104,2.7
Linear,435,0.94,3620,12,1,0.63,0.000,3.9
LSTM,436,0.94,3620,12,3,0.57,0.000,3.9
LSTM,437,0.94,3620,12,6,0.52,0.015,3.6
LSTM,438,0.94,3620,12,12,0.50,0.000,3.4
LSTM,439,0.94,3620,12,24,0.42,0.000,3.1
LSTM,440,0.94,3620,12,48,0.41,0.000,3.1
LSTM,441,0.94,3620,12,96,0.59,0.000,3.9
Linear,442,0.94,3620,24,1,0.77,0.000,4.8
LSTM,443,0.94,3620,24,3,0.74,0.000,4.7
LSTM,444,0.94,3620,24,6,0.58,0.000,4.2
LSTM,445,0.94,3620,24,12,0.49,0.000,3.9
LSTM,446,0.94,3620,24,24,0.50,0.000,4.3
LSTM,447,0.94,3620,24,48,0.43,0.000,3.6
LSTM,448,0.94,3620,24,96,0.54,0.000,4.3
Linear,449,0.94,5430,3,1,0.24,0.219,1.9
LSTM,450,0.94,5430,3,3,0.24,0.161,2
LSTM,451,0.94,5430,3,6,0.22,0.176,1.9
LSTM,452,0.94,5430,3,12,0.22,0.322,2
LSTM,453,0.94,5430,3,24,0.21,0.161,1.8
LSTM,454,0.94,5430,3,48,0.22,0.162,2
LSTM,455,0.94,5430,3,96,0.23,0.296,2
Linear,456,0.94,5430,6,1,0.40,0.015,2.8
LSTM,457,0.94,5430,6,3,0.37,0.029,2.8
LSTM,458,0.94,5430,6,6,0.34,0.015,2.6
LSTM,459,0.94,5430,6,12,0.30,0.102,2.5
LSTM,460,0.94,5430,6,24,0.28,0.088,2.3
LSTM,461,0.94,5430,6,48,0.32,0.353,2.8
LSTM,462,0.94,5430,6,96,0.35,0.030,2.7
Linear,463,0.94,5430,12,1,0.63,0.000,3.9
LSTM,464,0.94,5430,12,3,0.56,0.015,3.7
LSTM,465,0.94,5430,12,6,0.50,0.000,3.5
LSTM,466,0.94,5430,12,12,0.41,0.000,3.1
LSTM,467,0.94,5430,12,24,0.37,0.000,3.1
LSTM,468,0.94,5430,12,48,0.39,0.000,3.2
LSTM,469,0.94,5430,12,96,0.62,0.000,3.9
Linear,470,0.94,5430,24,1,0.77,0.000,4.8
LSTM,471,0.94,5430,24,3,0.73,0.000,4.7
LSTM,472,0.94,5430,24,6,0.59,0.015,4.2
LSTM,473,0.94,5430,24,12,0.51,0.000,4
LSTM,474,0.94,5430,24,24,0.47,0.000,3.9
LSTM,475,0.94,5430,24,48,0.58,0.000,4.3
LSTM,476,0.94,5430,24,96,0.46,0.000,3.9
Linear,477,0.94,7240,3,1,0.24,0.219,1.9
LSTM,478,0.94,7240,3,3,0.23,0.146,1.9
LSTM,479,0.94,7240,3,6,0.24,0.205,2.1
LSTM,480,0.94,7240,3,12,0.21,0.234,1.9
LSTM,481,0.94,7240,3,24,0.21,0.147,1.8
