,dt,value,veh_class,dir,location,category,key,date,time,hour-minutes,year-month-day-hour,year-month-hour,month-hour,year-month,day_of_week-hour-minutes,year-week,hours_since_midnight,minutes_since_midnight,year-quarter,month,quarter,day_in_week,day_of_week
10213,2021-12-30 11:00:00,1607,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow,2021-12,2021-12-30,1900-01-01 11:00:00,11:00,2021-12-30 11,2021-12 11,12 11,2021-12,Thursday 11:00,2021-52,11,660,2021-4,12,4,3,Thursday
10233,2021-12-30 14:00:00,1527,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow,2021-12,2021-12-30,1900-01-01 14:00:00,14:00,2021-12-30 14,2021-12 14,12 14,2021-12,Thursday 14:00,2021-52,14,840,2021-4,12,4,3,Thursday
9976,2021-12-28 14:00:00,1509,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow,2021-12,2021-12-28,1900-01-01 14:00:00,14:00,2021-12-28 14,2021-12 14,12 14,2021-12,Tuesday 14:00,2021-52,14,840,2021-4,12,4,1,Tuesday
10223,2021-12-30 12:00:00,1485,person,southwest_to_northwest,NclNorthumberlandStSavilleRowWest,flow,2021-12,2021-12-30,1900-01-01 12:00:00,12:00,2021-12-30 12,2021-12 12,12 12,2021-12,Thursday 12:00,2021-52,12,720,2021-4,12,4,3,Thursday
10245,2021-12-30 16:00:00,1473,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow,2021-12,2021-12-30,1900-01-01 16:00:00,16:00,2021-12-30 16,2021-12 16,12 16,2021-12,Thursday 16:00,2021-52,16,960,2021-4,12,4,3,Thursday
10118,2021-12-29 16:00:00,1460,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow,2021-12,2021-12-29,1900-01-01 16:00:00,16:00,2021-12-29 16,2021-12 16,12 16,2021-12,Wednesday 16:00,2021-52,16,960,2021-4,12,4,2,Wednesday
10362,2021-12-31 14:00:00,1434,person,southwest_to_northwest,NclNorthumberlandStSavilleRowWest,flow,2021-12,2021-12-31,1900-01-01 14:00:00,14:00,2021-12-31 14,2021-12 14,12 14,2021-12,Friday 14:00,2021-52,14,840,2021-4,12,4,4,Friday
14646,2022-12-16 13:15:00,1398,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow,2022-12,2022-12-16,1900-01-01 13:15:00,13:15,2022-12-16 13,2022-12 13,12 13,2022-12,Friday 13:15,2022-50,13,795,2022-4,12,4,4,Friday
10350,2021-12-31 12:00:00,1375,person,southwest_to_northwest,NclNorthumberlandStSavilleRowWest,flow,2021-12,2021-12-31,1900-01-01 12:00:00,12:00,2021-12-31 12,2021-12 12,12 12,2021-12,Friday 12:00,2021-52,12,720,2021-4,12,4,4,Friday
14658,2022-12-16 13:30:00,1348,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow,2022-12,2022-12-16,1900-01-01 13:30:00,13:30,2022-12-16 13,2022-12 13,12 13,2022-12,Friday 13:30,2022-50,13,810,2022-4,12,4,4,Friday
10215,2021-12-30 11:00:00,1288,person,southwest_to_northwest,NclNorthumberlandStSavilleRowWest,flow,2021-12,2021-12-30,1900-01-01 11:00:00,11:00,2021-12-30 11,2021-12 11,12 11,2021-12,Thursday 11:00,2021-52,11,660,2021-4,12,4,3,Thursday
10120,2021-12-29 16:00:00,1265,person,southwest_to_northwest,NclNorthumberlandStSavilleRowWest,flow,2021-12,2021-12-29,1900-01-01 16:00:00,16:00,2021-12-29 16,2021-12 16,12 16,2021-12,Wednesday 16:00,2021-52,16,960,2021-4,12,4,2,Wednesday
14634,2022-12-16 13:00:00,1248,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow,2022-12,2022-12-16,1900-01-01 13:00:00,13:00,2022-12-16 13,2022-12 13,12 13,2022-12,Friday 13:00,2022-50,13,780,2022-4,12,4,4,Friday
10235,2021-12-30 14:00:00,1214,person,southwest_to_northwest,NclNorthumberlandStSavilleRowWest,flow,2021-12,2021-12-30,1900-01-01 14:00:00,14:00,2021-12-30 14,2021-12 14,12 14,2021-12,Thursday 14:00,2021-52,14,840,2021-4,12,4,3,Thursday
10092,2021-12-29 12:00:00,1199,person,southwest_to_northwest,NclNorthumberlandStSavilleRowWest,flow,2021-12,2021-12-29,1900-01-01 12:00:00,12:00,2021-12-29 12,2021-12 12,12 12,2021-12,Wednesday 12:00,2021-52,12,720,2021-4,12,4,2,Wednesday
9996,2021-12-28 17:00:00,1193,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow,2021-12,2021-12-28,1900-01-01 17:00:00,17:00,2021-12-28 17,2021-12 17,12 17,2021-12,Tuesday 17:00,2021-52,17,1020,2021-4,12,4,1,Tuesday
5658,2021-12-18 19:00:00,1171,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow,2021-12,2021-12-18,1900-01-01 19:00:00,19:00,2021-12-18 19,2021-12 19,12 19,2021-12,Saturday 19:00,2021-50,19,1140,2021-4,12,4,5,Saturday
5467,2022-02-09 13:15:00,1162,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow,2022-02,2022-02-09,1900-01-01 13:15:00,13:15,2022-02-09 13,2022-02 13,02 13,2022-02,Wednesday 13:15,2022-06,13,795,2022-1,2,1,2,Wednesday
1029,2021-12-04 13:45:00,1136,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow,2021-12,2021-12-04,1900-01-01 13:45:00,13:45,2021-12-04 13,2021-12 13,12 13,2021-12,Saturday 13:45,2021-48,13,825,2021-4,12,4,5,Saturday
10126,2021-12-29 17:00:00,1125,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow,2021-12,2021-12-29,1900-01-01 17:00:00,17:00,2021-12-29 17,2021-12 17,12 17,2021-12,Wednesday 17:00,2021-52,17,1020,2021-4,12,4,2,Wednesday
1021,2021-12-04 13:15:00,1098,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow,2021-12,2021-12-04,1900-01-01 13:15:00,13:15,2021-12-04 13,2021-12 13,12 13,2021-12,Saturday 13:15,2021-48,13,795,2021-4,12,4,5,Saturday
10247,2021-12-30 16:00:00,1097,person,southwest_to_northwest,NclNorthumberlandStSavilleRowWest,flow,2021-12,2021-12-30,1900-01-01 16:00:00,16:00,2021-12-30 16,2021-12 16,12 16,2021-12,Thursday 16:00,2021-52,16,960,2021-4,12,4,3,Thursday
5660,2021-12-18 19:00:00,1071,person,southwest_to_northwest,NclNorthumberlandStSavilleRowWest,flow,2021-12,2021-12-18,1900-01-01 19:00:00,19:00,2021-12-18 19,2021-12 19,12 19,2021-12,Saturday 19:00,2021-50,19,1140,2021-4,12,4,5,Saturday
14267,2023-03-15 12:30:00,1060,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow,2023-03,2023-03-15,1900-01-01 12:30:00,12:30,2023-03-15 12,2023-03 12,03 12,2023-03,Wednesday 12:30,2023-11,12,750,2023-1,3,1,2,Wednesday
9998,2021-12-28 17:00:00,1029,person,southwest_to_northwest,NclNorthumberlandStSavilleRowWest,flow,2021-12,2021-12-28,1900-01-01 17:00:00,17:00,2021-12-28 17,2021-12 17,12 17,2021-12,Tuesday 17:00,2021-52,17,1020,2021-4,12,4,1,Tuesday
460,2023-02-01 12:15:00,993,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow,2023-02,2023-02-01,1900-01-01 12:15:00,12:15,2023-02-01 12,2023-02 12,02 12,2023-02,Wednesday 12:15,2023-05,12,735,2023-1,2,1,2,Wednesday
5459,2022-02-09 13:00:00,985,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow,2022-02,2022-02-09,1900-01-01 13:00:00,13:00,2022-02-09 13,2022-02 13,02 13,2022-02,Wednesday 13:00,2022-06,13,780,2022-1,2,1,2,Wednesday
14662,2022-12-16 13:30:00,981,person,southwest_to_northwest,NclNorthumberlandStSavilleRowWest,flow,2022-12,2022-12-16,1900-01-01 13:30:00,13:30,2022-12-16 13,2022-12 13,12 13,2022-12,Friday 13:30,2022-50,13,810,2022-4,12,4,4,Friday
15661,2022-12-17 14:45:00,956,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow,2022-12,2022-12-17,1900-01-01 14:45:00,14:45,2022-12-17 14,2022-12 14,12 14,2022-12,Saturday 14:45,2022-50,14,885,2022-4,12,4,5,Saturday
21627,2022-11-26 12:45:00,948,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow,2022-11,2022-11-26,1900-01-01 12:45:00,12:45,2022-11-26 12,2022-11 12,11 12,2022-11,Saturday 12:45,2022-47,12,765,2022-4,11,4,5,Saturday
1009,2021-12-04 12:45:00,945,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow,2021-12,2021-12-04,1900-01-01 12:45:00,12:45,2021-12-04 12,2021-12 12,12 12,2021-12,Saturday 12:45,2021-48,12,765,2021-4,12,4,5,Saturday
14650,2022-12-16 13:15:00,939,person,southwest_to_northwest,NclNorthumberlandStSavilleRowWest,flow,2022-12,2022-12-16,1900-01-01 13:15:00,13:15,2022-12-16 13,2022-12 13,12 13,2022-12,Friday 13:15,2022-50,13,795,2022-4,12,4,4,Friday
1097,2021-12-04 17:15:00,925,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow,2021-12,2021-12-04,1900-01-01 17:15:00,17:15,2021-12-04 17,2021-12 17,12 17,2021-12,Saturday 17:15,2021-48,17,1035,2021-4,12,4,5,Saturday
1017,2021-12-04 13:00:00,922,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow,2021-12,2021-12-04,1900-01-01 13:00:00,13:00,2021-12-04 13,2021-12 13,12 13,2021-12,Saturday 13:00,2021-48,13,780,2021-4,12,4,5,Saturday
21758,2022-11-26 15:30:00,920,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow,2022-11,2022-11-26,1900-01-01 15:30:00,15:30,2022-11-26 15,2022-11 15,11 15,2022-11,Saturday 15:30,2022-47,15,930,2022-4,11,4,5,Saturday
21663,2022-11-26 13:30:00,912,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow,2022-11,2022-11-26,1900-01-01 13:30:00,13:30,2022-11-26 13,2022-11 13,11 13,2022-11,Saturday 13:30,2022-47,13,810,2022-4,11,4,5,Saturday
1041,2021-12-04 14:30:00,910,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow,2021-12,2021-12-04,1900-01-01 14:30:00,14:30,2021-12-04 14,2021-12 14,12 14,2021-12,Saturday 14:30,2021-48,14,870,2021-4,12,4,5,Saturday
1077,2021-12-04 16:15:00,907,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow,2021-12,2021-12-04,1900-01-01 16:15:00,16:15,2021-12-04 16,2021-12 16,12 16,2021-12,Saturday 16:15,2021-48,16,975,2021-4,12,4,5,Saturday
1037,2021-12-04 14:00:00,903,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow,2021-12,2021-12-04,1900-01-01 14:00:00,14:00,2021-12-04 14,2021-12 14,12 14,2021-12,Saturday 14:00,2021-48,14,840,2021-4,12,4,5,Saturday
21804,2022-11-26 16:30:00,901,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow,2022-11,2022-11-26,1900-01-01 16:30:00,16:30,2022-11-26 16,2022-11 16,11 16,2022-11,Saturday 16:30,2022-47,16,990,2022-4,11,4,5,Saturday
14670,2022-12-16 13:45:00,901,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow,2022-12,2022-12-16,1900-01-01 13:45:00,13:45,2022-12-16 13,2022-12 13,12 13,2022-12,Friday 13:45,2022-50,13,825,2022-4,12,4,4,Friday
9054,2022-12-10 13:15:00,900,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow,2022-12,2022-12-10,1900-01-01 13:15:00,13:15,2022-12-10 13,2022-12 13,12 13,2022-12,Saturday 13:15,2022-49,13,795,2022-4,12,4,5,Saturday
15708,2022-12-17 15:45:00,899,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow,2022-12,2022-12-17,1900-01-01 15:45:00,15:45,2022-12-17 15,2022-12 15,12 15,2022-12,Saturday 15:45,2022-50,15,945,2022-4,12,4,5,Saturday
15650,2022-12-17 14:30:00,897,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow,2022-12,2022-12-17,1900-01-01 14:30:00,14:30,2022-12-17 14,2022-12 14,12 14,2022-12,Saturday 14:30,2022-50,14,870,2022-4,12,4,5,Saturday
9978,2021-12-28 14:00:00,893,person,southwest_to_northwest,NclNorthumberlandStSavilleRowWest,flow,2021-12,2021-12-28,1900-01-01 14:00:00,14:00,2021-12-28 14,2021-12 14,12 14,2021-12,Tuesday 14:00,2021-52,14,840,2021-4,12,4,1,Tuesday
6776,2022-11-10 13:15:00,892,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow,2022-11,2022-11-10,1900-01-01 13:15:00,13:15,2022-11-10 13,2022-11 13,11 13,2022-11,Thursday 13:15,2022-45,13,795,2022-4,11,4,3,Thursday
15638,2022-12-17 14:15:00,889,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow,2022-12,2022-12-17,1900-01-01 14:15:00,14:15,2022-12-17 14,2022-12 14,12 14,2022-12,Saturday 14:15,2022-50,14,855,2022-4,12,4,5,Saturday
15730,2022-12-17 16:15:00,889,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow,2022-12,2022-12-17,1900-01-01 16:15:00,16:15,2022-12-17 16,2022-12 16,12 16,2022-12,Saturday 16:15,2022-50,16,975,2022-4,12,4,5,Saturday
21651,2022-11-26 13:15:00,885,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow,2022-11,2022-11-26,1900-01-01 13:15:00,13:15,2022-11-26 13,2022-11 13,11 13,2022-11,Saturday 13:15,2022-47,13,795,2022-4,11,4,5,Saturday
21815,2022-11-26 16:45:00,880,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow,2022-11,2022-11-26,1900-01-01 16:45:00,16:45,2022-11-26 16,2022-11 16,11 16,2022-11,Saturday 16:45,2022-47,16,1005,2022-4,11,4,5,Saturday
1065,2021-12-04 15:45:00,874,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow,2021-12,2021-12-04,1900-01-01 15:45:00,15:45,2021-12-04 15,2021-12 15,12 15,2021-12,Saturday 15:45,2021-48,15,945,2021-4,12,4,5,Saturday
15719,2022-12-17 16:00:00,873,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow,2022-12,2022-12-17,1900-01-01 16:00:00,16:00,2022-12-17 16,2022-12 16,12 16,2022-12,Saturday 16:00,2022-50,16,960,2022-4,12,4,5,Saturday
21770,2022-11-26 15:45:00,872,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow,2022-11,2022-11-26,1900-01-01 15:45:00,15:45,2022-11-26 15,2022-11 15,11 15,2022-11,Saturday 15:45,2022-47,15,945,2022-4,11,4,5,Saturday
6764,2022-11-10 13:00:00,870,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow,2022-11,2022-11-10,1900-01-01 13:00:00,13:00,2022-11-10 13,2022-11 13,11 13,2022-11,Thursday 13:00,2022-45,13,780,2022-4,11,4,3,Thursday
21675,2022-11-26 13:45:00,866,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow,2022-11,2022-11-26,1900-01-01 13:45:00,13:45,2022-11-26 13,2022-11 13,11 13,2022-11,Saturday 13:45,2022-47,13,825,2022-4,11,4,5,Saturday
15696,2022-12-17 15:30:00,865,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow,2022-12,2022-12-17,1900-01-01 15:30:00,15:30,2022-12-17 15,2022-12 15,12 15,2022-12,Saturday 15:30,2022-50,15,930,2022-4,12,4,5,Saturday
10128,2021-12-29 17:00:00,862,person,southwest_to_northwest,NclNorthumberlandStSavilleRowWest,flow,2021-12,2021-12-29,1900-01-01 17:00:00,17:00,2021-12-29 17,2021-12 17,12 17,2021-12,Wednesday 17:00,2021-52,17,1020,2021-4,12,4,2,Wednesday
14665,2022-11-19 12:30:00,860,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow,2022-11,2022-11-19,1900-01-01 12:30:00,12:30,2022-11-19 12,2022-11 12,11 12,2022-11,Saturday 12:30,2022-46,12,750,2022-4,11,4,5,Saturday
14713,2022-11-19 13:30:00,860,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow,2022-11,2022-11-19,1900-01-01 13:30:00,13:30,2022-11-19 13,2022-11 13,11 13,2022-11,Saturday 13:30,2022-46,13,810,2022-4,11,4,5,Saturday
21616,2022-11-26 12:30:00,856,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow,2022-11,2022-11-26,1900-01-01 12:30:00,12:30,2022-11-26 12,2022-11 12,11 12,2022-11,Saturday 12:30,2022-47,12,750,2022-4,11,4,5,Saturday
20652,2022-11-25 13:30:00,855,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow,2022-11,2022-11-25,1900-01-01 13:30:00,13:30,2022-11-25 13,2022-11 13,11 13,2022-11,Friday 13:30,2022-47,13,810,2022-4,11,4,4,Friday
20616,2022-11-25 12:45:00,847,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow,2022-11,2022-11-25,1900-01-01 12:45:00,12:45,2022-11-25 12,2022-11 12,11 12,2022-11,Friday 12:45,2022-47,12,765,2022-4,11,4,4,Friday
5461,2022-02-09 13:00:00,844,person,southwest_to_northwest,NclNorthumberlandStSavilleRowWest,flow,2022-02,2022-02-09,1900-01-01 13:00:00,13:00,2022-02-09 13,2022-02 13,02 13,2022-02,Wednesday 13:00,2022-06,13,780,2022-1,2,1,2,Wednesday
21782,2022-11-26 16:00:00,843,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow,2022-11,2022-11-26,1900-01-01 16:00:00,16:00,2022-11-26 16,2022-11 16,11 16,2022-11,Saturday 16:00,2022-47,16,960,2022-4,11,4,5,Saturday
1081,2021-12-04 16:30:00,833,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow,2021-12,2021-12-04,1900-01-01 16:30:00,16:30,2021-12-04 16,2021-12 16,12 16,2021-12,Saturday 16:30,2021-48,16,990,2021-4,12,4,5,Saturday
14638,2022-12-16 13:00:00,832,person,southwest_to_northwest,NclNorthumberlandStSavilleRowWest,flow,2022-12,2022-12-16,1900-01-01 13:00:00,13:00,2022-12-16 13,2022-12 13,12 13,2022-12,Friday 13:00,2022-50,13,780,2022-4,12,4,4,Friday
1005,2021-12-04 12:30:00,831,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow,2021-12,2021-12-04,1900-01-01 12:30:00,12:30,2021-12-04 12,2021-12 12,12 12,2021-12,Saturday 12:30,2021-48,12,750,2021-4,12,4,5,Saturday
10207,2021-12-30 10:00:00,823,person,southwest_to_northwest,NclNorthumberlandStSavilleRowWest,flow,2021-12,2021-12-30,1900-01-01 10:00:00,10:00,2021-12-30 10,2021-12 10,12 10,2021-12,Thursday 10:00,2021-52,10,600,2021-4,12,4,3,Thursday
20784,2022-11-25 16:15:00,820,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow,2022-11,2022-11-25,1900-01-01 16:15:00,16:15,2022-11-25 16,2022-11 16,11 16,2022-11,Friday 16:15,2022-47,16,975,2022-4,11,4,4,Friday
2528,2022-12-03 14:45:00,813,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow,2022-12,2022-12-03,1900-01-01 14:45:00,14:45,2022-12-03 14,2022-12 14,12 14,2022-12,Saturday 14:45,2022-48,14,885,2022-4,12,4,5,Saturday
21792,2022-11-26 16:15:00,809,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow,2022-11,2022-11-26,1900-01-01 16:15:00,16:15,2022-11-26 16,2022-11 16,11 16,2022-11,Saturday 16:15,2022-47,16,975,2022-4,11,4,5,Saturday
15673,2022-12-17 15:00:00,808,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow,2022-12,2022-12-17,1900-01-01 15:00:00,15:00,2022-12-17 15,2022-12 15,12 15,2022-12,Saturday 15:00,2022-50,15,900,2022-4,12,4,5,Saturday
20714,2022-12-23 15:30:00,808,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow,2022-12,2022-12-23,1900-01-01 15:30:00,15:30,2022-12-23 15,2022-12 15,12 15,2022-12,Friday 15:30,2022-51,15,930,2022-4,12,4,4,Friday
21746,2022-11-26 15:15:00,807,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow,2022-11,2022-11-26,1900-01-01 15:15:00,15:15,2022-11-26 15,2022-11 15,11 15,2022-11,Saturday 15:15,2022-47,15,915,2022-4,11,4,5,Saturday
15591,2022-12-17 13:15:00,807,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow,2022-12,2022-12-17,1900-01-01 13:15:00,13:15,2022-12-17 13,2022-12 13,12 13,2022-12,Saturday 13:15,2022-50,13,795,2022-4,12,4,5,Saturday
6459,2021-12-20 13:30:00,806,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow,2021-12,2021-12-20,1900-01-01 13:30:00,13:30,2021-12-20 13,2021-12 13,12 13,2021-12,Monday 13:30,2021-51,13,810,2021-4,12,4,0,Monday
20604,2022-11-25 12:30:00,805,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow,2022-11,2022-11-25,1900-01-01 12:30:00,12:30,2022-11-25 12,2022-11 12,11 12,2022-11,Friday 12:30,2022-47,12,750,2022-4,11,4,4,Friday
10205,2021-12-30 10:00:00,802,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow,2021-12,2021-12-30,1900-01-01 10:00:00,10:00,2021-12-30 10,2021-12 10,12 10,2021-12,Thursday 10:00,2021-52,10,600,2021-4,12,4,3,Thursday
15685,2022-12-17 15:15:00,802,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow,2022-12,2022-12-17,1900-01-01 15:15:00,15:15,2022-12-17 15,2022-12 15,12 15,2022-12,Saturday 15:15,2022-50,15,915,2022-4,12,4,5,Saturday
21687,2022-11-26 14:00:00,800,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow,2022-11,2022-11-26,1900-01-01 14:00:00,14:00,2022-11-26 14,2022-11 14,11 14,2022-11,Saturday 14:00,2022-47,14,840,2022-4,11,4,5,Saturday
20640,2022-11-25 13:15:00,798,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow,2022-11,2022-11-25,1900-01-01 13:15:00,13:15,2022-11-25 13,2022-11 13,11 13,2022-11,Friday 13:15,2022-47,13,795,2022-4,11,4,4,Friday
15511,2022-12-17 11:30:00,798,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow,2022-12,2022-12-17,1900-01-01 11:30:00,11:30,2022-12-17 11,2022-12 11,12 11,2022-12,Saturday 11:30,2022-50,11,690,2022-4,12,4,5,Saturday
9031,2022-12-10 12:45:00,795,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow,2022-12,2022-12-10,1900-01-01 12:45:00,12:45,2022-12-10 12,2022-12 12,12 12,2022-12,Saturday 12:45,2022-49,12,765,2022-4,12,4,5,Saturday
15602,2022-12-17 13:30:00,794,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow,2022-12,2022-12-17,1900-01-01 13:30:00,13:30,2022-12-17 13,2022-12 13,12 13,2022-12,Saturday 13:30,2022-50,13,810,2022-4,12,4,5,Saturday
14677,2022-11-19 12:45:00,793,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow,2022-11,2022-11-19,1900-01-01 12:45:00,12:45,2022-11-19 12,2022-11 12,11 12,2022-11,Saturday 12:45,2022-46,12,765,2022-4,11,4,5,Saturday
17287,2023-03-18 13:15:00,792,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow,2023-03,2023-03-18,1900-01-01 13:15:00,13:15,2023-03-18 13,2023-03 13,03 13,2023-03,Saturday 13:15,2023-11,13,795,2023-1,3,1,5,Saturday
1025,2021-12-04 13:30:00,790,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow,2021-12,2021-12-04,1900-01-01 13:30:00,13:30,2021-12-04 13,2021-12 13,12 13,2021-12,Saturday 13:30,2021-48,13,810,2021-4,12,4,5,Saturday
