Model,Model Number,Completeness,Sequence Length,Horizon,Window Size,MAE,Anomaly Percentage,Anomaly Threshold
Linear,78,1,648,3,1,1.16,0.000,5.4
LSTM,79,1,648,3,3,0.90,0.000,7.4
LSTM,80,1,648,3,6,1.84,0.000,12.6
LSTM,81,1,648,3,12,0.86,0.000,6.3
LSTM,82,1,648,3,24,0.87,0.000,4.7
LSTM,83,1,648,3,48,0.48,0.000,2.8
LSTM,84,1,648,3,96,0.37,0.458,3.5
Linear,85,1,648,6,1,1.89,0.000,8.4
LSTM,86,1,648,6,3,0.80,0.000,4.7
LSTM,87,1,648,6,6,1.78,0.000,10.5
LSTM,88,1,648,6,12,1.02,0.015,5.6
LSTM,89,1,648,6,24,1.04,0.000,5.9
LSTM,90,1,648,6,48,0.77,0.000,5.8
LSTM,91,1,648,6,96,0.71,0.030,5.6
Linear,92,1,648,12,1,3.18,0.000,13.7
LSTM,93,1,648,12,3,1.29,0.000,7.8
LSTM,94,1,648,12,6,0.82,0.029,4.7
LSTM,95,1,648,12,12,1.10,0.000,6.8
LSTM,96,1,648,12,24,1.36,0.117,10.3
LSTM,97,1,648,12,48,0.76,0.044,4.8
LSTM,98,1,648,12,96,0.62,0.044,5
Linear,99,1,648,24,1,1.96,0.000,8.7
LSTM,100,1,648,24,3,2.05,0.000,15.4
LSTM,101,1,648,24,6,1.26,0.000,12.4
LSTM,102,1,648,24,12,1.66,0.000,14.6
LSTM,103,1,648,24,24,1.01,0.029,5.7
LSTM,104,1,648,24,48,0.77,0.516,6.9
LSTM,105,1,648,24,96,0.96,0.015,6.2
Linear,106,1,864,1,1,0.50,0.000,2.4
LSTM,107,1,864,1,3,0.63,0.000,4.7
LSTM,108,1,864,1,6,1.12,0.000,8.7
LSTM,109,1,864,1,12,0.90,0.000,6
LSTM,110,1,864,1,24,1.02,0.000,6.7
LSTM,111,1,864,1,48,0.92,0.000,6.8
LSTM,112,1,864,1,96,0.41,0.000,3.2
Linear,113,1,864,3,1,0.97,0.000,4.2
LSTM,114,1,864,3,3,1.55,0.000,11.3
LSTM,115,1,864,3,6,1.08,0.000,6.4
LSTM,116,1,864,3,12,0.77,0.000,5.9
LSTM,117,1,864,3,24,0.52,0.000,4.1
LSTM,118,1,864,3,48,0.72,0.000,6.3
LSTM,119,1,864,3,96,0.50,0.030,3.9
Linear,120,1,864,6,1,1.83,0.000,8.1
LSTM,121,1,864,6,3,0.57,0.000,4.4
LSTM,122,1,864,6,6,1.23,0.000,7
LSTM,123,1,864,6,12,0.82,0.000,6
LSTM,124,1,864,6,24,0.95,0.000,6.9
LSTM,125,1,864,6,48,0.68,0.000,5
LSTM,126,1,864,6,96,0.49,0.000,4
Linear,127,1,864,12,1,3.11,0.000,13.5
LSTM,128,1,864,12,3,0.69,0.000,4.7
LSTM,129,1,864,12,6,1.10,0.000,9.3
LSTM,130,1,864,12,12,0.80,0.000,5.3
LSTM,131,1,864,12,24,0.90,0.147,6.3
LSTM,132,1,864,12,48,0.67,0.221,4.6
LSTM,133,1,864,12,96,0.42,0.015,3.7
Linear,134,1,864,24,1,2.03,0.000,9
LSTM,135,1,864,24,3,0.85,0.000,6
LSTM,136,1,864,24,6,0.84,0.000,5.5
LSTM,137,1,864,24,12,0.98,0.000,5.8
LSTM,138,1,864,24,24,1.30,0.000,12.5
LSTM,139,1,864,24,48,0.59,0.000,3.9
LSTM,140,1,864,24,96,0.42,0.000,3.4
Linear,141,0.98,694,1,1,1.34,0.000,4.8
LSTM,142,0.98,694,1,3,0.26,0.117,2
LSTM,143,0.98,694,1,6,0.27,0.102,1.9
LSTM,144,0.98,694,1,12,0.18,0.249,1.4
LSTM,145,0.98,694,1,24,0.22,0.147,1.6
LSTM,146,0.98,694,1,48,0.34,0.573,3
LSTM,147,0.98,694,1,96,0.24,0.089,1.9
Linear,148,0.98,694,3,1,2.20,0.000,7.8
LSTM,149,0.98,694,3,3,0.39,0.058,2.9
LSTM,150,0.98,694,3,6,0.27,0.132,2.1
LSTM,151,0.98,694,3,12,0.28,0.117,2.2
LSTM,152,0.98,694,3,24,0.30,0.088,2.2
LSTM,153,0.98,694,3,48,0.28,0.118,2.2
LSTM,154,0.98,694,3,96,0.29,0.118,2.5
Linear,155,0.98,694,6,1,2.67,0.000,9.7
LSTM,156,0.98,694,6,3,0.37,0.088,3.1
LSTM,157,0.98,694,6,6,0.34,0.117,2.7
LSTM,158,0.98,694,6,12,0.33,0.117,2.8
LSTM,159,0.98,694,6,24,0.32,0.205,2.7
LSTM,160,0.98,694,6,48,0.31,0.147,2.5
LSTM,161,0.98,694,6,96,0.30,0.163,2.6
Linear,162,0.98,694,12,1,2.97,0.000,10.7
LSTM,163,0.98,694,12,3,0.39,0.220,3
LSTM,164,0.98,694,12,6,0.39,0.015,3
LSTM,165,0.98,694,12,12,0.33,0.029,2.8
LSTM,166,0.98,694,12,24,0.38,0.044,2.9
LSTM,167,0.98,694,12,48,0.39,0.103,3
LSTM,168,0.98,694,12,96,0.36,0.237,3.1
Linear,169,0.98,694,24,1,2.69,0.000,9.8
LSTM,170,0.98,694,24,3,0.38,0.029,3.1
LSTM,171,0.98,694,24,6,0.45,0.469,3.8
LSTM,172,0.98,694,24,12,0.43,0.117,3.6
LSTM,173,0.98,694,24,24,0.38,0.000,3
LSTM,174,0.98,694,24,48,0.48,0.088,3.8
LSTM,175,0.98,694,24,96,0.43,0.726,4.7
Linear,176,0.98,1388,1,1,0.94,0.000,3.8
LSTM,177,0.98,1388,1,3,0.26,0.278,2
LSTM,178,0.98,1388,1,6,0.27,0.102,2.2
LSTM,179,0.98,1388,1,12,0.23,0.059,1.7
LSTM,180,0.98,1388,1,24,0.27,0.088,2.2
LSTM,181,0.98,1388,1,48,0.21,0.191,1.5
LSTM,182,0.98,1388,1,96,0.26,0.103,1.9
Linear,183,0.98,1388,3,1,1.90,0.000,6.7
LSTM,184,0.98,1388,3,3,0.33,0.073,2.6
LSTM,185,0.98,1388,3,6,0.34,0.117,2.8
LSTM,186,0.98,1388,3,12,0.27,0.176,2.1
LSTM,187,0.98,1388,3,24,0.31,0.205,2.3
LSTM,188,0.98,1388,3,48,0.32,0.044,2.4
LSTM,189,0.98,1388,3,96,0.27,0.207,2.4
Linear,190,0.98,1388,6,1,2.58,0.000,9.1
LSTM,191,0.98,1388,6,3,0.33,0.146,2.9
LSTM,192,0.98,1388,6,6,0.34,0.102,2.6
LSTM,193,0.98,1388,6,12,0.31,0.117,2.6
LSTM,194,0.98,1388,6,24,0.33,0.088,2.4
LSTM,195,0.98,1388,6,48,0.35,0.147,2.6
LSTM,196,0.98,1388,6,96,0.29,0.192,2.4
Linear,197,0.98,1388,12,1,3.08,0.000,11.1
LSTM,198,0.98,1388,12,3,0.42,0.146,3.2
LSTM,199,0.98,1388,12,6,0.43,0.190,3.3
LSTM,200,0.98,1388,12,12,0.34,0.059,2.7
LSTM,201,0.98,1388,12,24,0.39,0.088,3
LSTM,202,0.98,1388,12,48,0.35,0.309,3.3
LSTM,203,0.98,1388,12,96,0.36,0.118,3
Linear,204,0.98,1388,24,1,2.56,0.000,9.3
LSTM,205,0.98,1388,24,3,0.39,0.015,3
LSTM,206,0.98,1388,24,6,0.37,0.000,3
LSTM,207,0.98,1388,24,12,0.36,0.000,2.9
LSTM,208,0.98,1388,24,24,0.44,0.000,3.2
LSTM,209,0.98,1388,24,48,0.42,0.044,3.5
LSTM,210,0.98,1388,24,96,0.36,0.000,2.8
Linear,211,0.98,2082,1,1,0.92,0.000,3.5
LSTM,212,0.98,2082,1,3,0.30,0.073,2.4
LSTM,213,0.98,2082,1,6,0.25,0.117,2
LSTM,214,0.98,2082,1,12,0.28,0.644,2.5
LSTM,215,0.98,2082,1,24,0.27,0.000,2.1
LSTM,216,0.98,2082,1,48,0.27,0.397,2.3
LSTM,217,0.98,2082,1,96,0.27,0.089,2
Linear,218,0.98,2082,3,1,2.22,0.000,7.8
LSTM,219,0.98,2082,3,3,0.32,0.205,2.7
LSTM,220,0.98,2082,3,6,0.30,0.293,2.7
LSTM,221,0.98,2082,3,12,0.34,0.117,3
LSTM,222,0.98,2082,3,24,0.26,0.191,2
LSTM,223,0.98,2082,3,48,0.28,0.132,2.2
LSTM,224,0.98,2082,3,96,0.28,0.148,2.3
Linear,225,0.98,2082,6,1,2.77,0.000,10.1
LSTM,226,0.98,2082,6,3,0.31,0.146,2.5
LSTM,227,0.98,2082,6,6,0.34,0.102,2.8
LSTM,228,0.98,2082,6,12,0.33,0.161,2.6
LSTM,229,0.98,2082,6,24,0.33,0.176,2.9
LSTM,230,0.98,2082,6,48,0.35,0.074,2.8
LSTM,231,0.98,2082,6,96,0.29,0.089,2.4
Linear,232,0.98,2082,12,1,3.10,0.000,11.2
LSTM,233,0.98,2082,12,3,0.37,0.146,3.1
LSTM,234,0.98,2082,12,6,0.39,0.073,3
LSTM,235,0.98,2082,12,12,0.40,0.073,3.3
LSTM,236,0.98,2082,12,24,0.37,0.044,2.9
LSTM,237,0.98,2082,12,48,0.38,0.147,3
LSTM,238,0.98,2082,12,96,0.34,0.089,2.7
Linear,239,0.98,2082,24,1,2.57,0.000,9.3
LSTM,240,0.98,2082,24,3,0.42,0.000,3.2
LSTM,241,0.98,2082,24,6,0.39,0.000,2.8
LSTM,242,0.98,2082,24,12,0.48,0.000,4.7
LSTM,243,0.98,2082,24,24,0.32,0.000,2.7
LSTM,244,0.98,2082,24,48,0.37,0.000,3
LSTM,245,0.98,2082,24,96,0.40,0.000,3.1
Linear,246,0.98,2776,1,1,1.29,0.000,4.6
LSTM,247,0.98,2776,1,3,0.31,0.044,2.3
LSTM,248,0.98,2776,1,6,0.20,0.161,1.6
LSTM,249,0.98,2776,1,12,0.30,0.059,2.2
LSTM,250,0.98,2776,1,24,0.26,0.117,2
LSTM,251,0.98,2776,1,48,0.28,0.088,2
LSTM,252,0.98,2776,1,96,0.23,0.163,1.9
Linear,253,0.98,2776,3,1,1.87,0.000,6.7
LSTM,254,0.98,2776,3,3,0.28,0.146,2.4
LSTM,255,0.98,2776,3,6,0.32,0.146,2.6
LSTM,256,0.98,2776,3,12,0.32,0.117,2.5
LSTM,257,0.98,2776,3,24,0.31,0.073,2.3
LSTM,258,0.98,2776,3,48,0.30,0.044,2.3
LSTM,259,0.98,2776,3,96,0.28,0.207,2.2
Linear,260,0.98,2776,6,1,2.33,0.000,8.4
LSTM,261,0.98,2776,6,3,0.32,0.161,2.7
LSTM,262,0.98,2776,6,6,0.36,0.102,2.9
LSTM,263,0.98,2776,6,12,0.31,0.176,2.6
LSTM,264,0.98,2776,6,24,0.32,0.073,2.5
LSTM,265,0.98,2776,6,48,0.38,0.000,3.1
LSTM,266,0.98,2776,6,96,0.32,0.192,2.5
Linear,267,0.98,2776,12,1,3.03,0.000,10.7
LSTM,268,0.98,2776,12,3,0.44,0.029,3.5
LSTM,269,0.98,2776,12,6,0.45,0.059,3.2
LSTM,270,0.98,2776,12,12,0.38,0.117,3.3
LSTM,271,0.98,2776,12,24,0.38,0.000,2.8
LSTM,272,0.98,2776,12,48,0.48,0.912,5.3
LSTM,273,0.98,2776,12,96,0.34,0.207,3
Linear,274,0.98,2776,24,1,2.54,0.000,9.2
LSTM,275,0.98,2776,24,3,0.44,0.000,3.2
LSTM,276,0.98,2776,24,6,0.42,0.000,3.3
LSTM,277,0.98,2776,24,12,0.43,0.029,3.3
LSTM,278,0.98,2776,24,24,0.36,0.000,2.8
LSTM,279,0.98,2776,24,48,0.34,0.074,2.9
LSTM,280,0.98,2776,24,96,0.34,0.000,2.9
Linear,281,0.98,3470,1,1,1.19,0.000,4.5
LSTM,282,0.98,3470,1,3,0.19,0.336,1.5
LSTM,283,0.98,3470,1,6,0.31,0.058,2.3
LSTM,284,0.98,3470,1,12,0.27,0.249,1.9
LSTM,285,0.98,3470,1,24,0.27,0.073,1.8
LSTM,286,0.98,3470,1,48,0.23,0.147,1.7
LSTM,287,0.98,3470,1,96,0.24,0.103,1.9
Linear,288,0.98,3470,3,1,2.31,0.000,8.5
LSTM,289,0.98,3470,3,3,0.28,0.161,2.2
LSTM,290,0.98,3470,3,6,0.30,0.161,2.3
LSTM,291,0.98,3470,3,12,0.34,0.263,2.7
LSTM,292,0.98,3470,3,24,0.26,0.191,2
LSTM,293,0.98,3470,3,48,0.25,0.103,2
LSTM,294,0.98,3470,3,96,0.25,0.148,2.2
Linear,295,0.98,3470,6,1,2.24,0.000,8
LSTM,296,0.98,3470,6,3,0.30,0.117,2.5
LSTM,297,0.98,3470,6,6,0.35,0.102,3.1
LSTM,298,0.98,3470,6,12,0.31,0.161,2.3
LSTM,299,0.98,3470,6,24,0.34,0.088,2.8
LSTM,300,0.98,3470,6,48,0.39,0.000,3.1
LSTM,301,0.98,3470,6,96,0.30,0.177,2.4
Linear,302,0.98,3470,12,1,2.97,0.000,10.5
LSTM,303,0.98,3470,12,3,0.33,0.073,2.7
LSTM,304,0.98,3470,12,6,0.43,0.102,3.2
LSTM,305,0.98,3470,12,12,0.46,0.044,3.4
LSTM,306,0.98,3470,12,24,0.36,0.000,2.9
LSTM,307,0.98,3470,12,48,0.34,0.059,2.6
LSTM,308,0.98,3470,12,96,0.31,0.089,2.7
Linear,309,0.98,3470,24,1,2.39,0.000,8.8
LSTM,310,0.98,3470,24,3,0.44,0.000,3.4
LSTM,311,0.98,3470,24,6,0.40,0.000,3.3
LSTM,312,0.98,3470,24,12,0.40,0.000,3.2
LSTM,313,0.98,3470,24,24,0.38,0.000,3.1
LSTM,314,0.98,3470,24,48,0.36,0.029,3
LSTM,315,0.98,3470,24,96,0.38,0.000,2.8
Linear,316,0.96,1288,1,1,0.25,0.073,1.5
LSTM,317,0.96,1288,1,3,0.21,0.132,1.5
LSTM,318,0.96,1288,1,6,0.19,0.175,1.7
LSTM,319,0.96,1288,1,12,0.24,0.015,2.4
LSTM,320,0.96,1288,1,24,0.31,0.029,2.2
LSTM,321,0.96,1288,1,48,0.18,0.132,1.5
LSTM,322,0.96,1288,1,96,0.17,0.177,1.4
Linear,323,0.96,1288,3,1,0.37,0.044,2.3
LSTM,324,0.96,1288,3,3,0.24,0.117,2.1
LSTM,325,0.96,1288,3,6,0.23,0.205,2
LSTM,326,0.96,1288,3,12,0.23,0.146,2
LSTM,327,0.96,1288,3,24,0.24,0.088,1.9
LSTM,328,0.96,1288,3,48,0.35,0.015,2.7
LSTM,329,0.96,1288,3,96,0.29,0.000,2.7
Linear,330,0.96,1288,6,1,0.81,0.000,4
LSTM,331,0.96,1288,6,3,0.29,0.044,2.5
LSTM,332,0.96,1288,6,6,0.32,0.088,2.8
LSTM,333,0.96,1288,6,12,0.34,0.015,3.1
LSTM,334,0.96,1288,6,24,0.31,0.029,2.5
LSTM,335,0.96,1288,6,48,0.28,0.015,2.3
LSTM,336,0.96,1288,6,96,0.42,0.000,4.2
Linear,337,0.96,1288,12,1,0.97,0.000,5
LSTM,338,0.96,1288,12,3,0.36,0.000,3
LSTM,339,0.96,1288,12,6,0.39,0.000,3.3
LSTM,340,0.96,1288,12,12,0.36,0.000,3
LSTM,341,0.96,1288,12,24,0.41,0.000,3.5
LSTM,342,0.96,1288,12,48,0.33,0.000,2.7
LSTM,343,0.96,1288,12,96,0.35,0.104,3.1
Linear,344,0.96,1288,24,1,1.48,0.000,7.2
LSTM,345,0.96,1288,24,3,0.38,0.000,3.1
LSTM,346,0.96,1288,24,6,0.41,0.000,3.4
LSTM,347,0.96,1288,24,12,0.53,0.000,4.4
LSTM,348,0.96,1288,24,24,0.44,0.000,3.7
LSTM,349,0.96,1288,24,48,0.41,0.000,3.2
LSTM,350,0.96,1288,24,96,0.38,0.000,3.1
Linear,351,0.96,2576,1,1,0.38,0.029,2
LSTM,352,0.96,2576,1,3,0.18,0.219,1.5
LSTM,353,0.96,2576,1,6,0.20,0.102,1.7
LSTM,354,0.96,2576,1,12,0.25,0.498,2.5
LSTM,355,0.96,2576,1,24,0.22,0.059,1.6
LSTM,356,0.96,2576,1,48,0.19,0.088,1.6
LSTM,357,0.96,2576,1,96,0.23,0.015,2.1
Linear,358,0.96,2576,3,1,0.52,0.015,2.7
LSTM,359,0.96,2576,3,3,0.41,0.000,4
LSTM,360,0.96,2576,3,6,0.25,0.073,2.1
LSTM,361,0.96,2576,3,12,0.24,0.088,2
LSTM,362,0.96,2576,3,24,0.30,0.088,2.7
LSTM,363,0.96,2576,3,48,0.35,0.000,3.2
LSTM,364,0.96,2576,3,96,0.23,0.118,2
Linear,365,0.96,2576,6,1,0.36,0.000,2.4
LSTM,366,0.96,2576,6,3,0.31,0.029,2.5
LSTM,367,0.96,2576,6,6,0.32,0.102,2.9
LSTM,368,0.96,2576,6,12,0.32,0.029,2.6
LSTM,369,0.96,2576,6,24,0.32,0.059,2.5
LSTM,370,0.96,2576,6,48,0.28,0.088,2.5
LSTM,371,0.96,2576,6,96,0.33,0.030,2.6
Linear,372,0.96,2576,12,1,1.31,0.000,6.2
LSTM,373,0.96,2576,12,3,0.42,0.015,3.9
LSTM,374,0.96,2576,12,6,0.40,0.000,3.2
LSTM,375,0.96,2576,12,12,0.38,0.000,3.2
LSTM,376,0.96,2576,12,24,0.43,0.000,3.6
LSTM,377,0.96,2576,12,48,0.39,0.015,3.1
LSTM,378,0.96,2576,12,96,0.47,0.000,3.8
Linear,379,0.96,2576,24,1,1.14,0.000,5.8
LSTM,380,0.96,2576,24,3,0.43,0.000,3.6
LSTM,381,0.96,2576,24,6,0.43,0.000,3.2
LSTM,382,0.96,2576,24,12,0.42,0.000,3.5
LSTM,383,0.96,2576,24,24,0.42,0.000,3.5
LSTM,384,0.96,2576,24,48,0.40,0.000,3.2
LSTM,385,0.96,2576,24,96,0.41,0.000,3.2
Linear,386,0.96,3864,1,1,0.18,0.161,1.2
LSTM,387,0.96,3864,1,3,0.16,0.161,1.3
LSTM,388,0.96,3864,1,6,0.18,0.175,1.4
LSTM,389,0.96,3864,1,12,0.23,0.059,1.7
LSTM,390,0.96,3864,1,24,0.19,0.161,1.4
LSTM,391,0.96,3864,1,48,0.18,0.353,1.6
LSTM,392,0.96,3864,1,96,0.18,0.118,1.5
Linear,393,0.96,3864,3,1,0.23,0.146,1.8
LSTM,394,0.96,3864,3,3,0.28,0.088,2.1
LSTM,395,0.96,3864,3,6,0.23,0.161,2
LSTM,396,0.96,3864,3,12,0.22,0.161,1.9
LSTM,397,0.96,3864,3,24,0.28,0.191,2.2
LSTM,398,0.96,3864,3,48,0.24,0.088,2
LSTM,399,0.96,3864,3,96,0.23,0.192,1.8
Linear,400,0.96,3864,6,1,0.37,0.000,2.4
LSTM,401,0.96,3864,6,3,0.56,0.000,4.6
LSTM,402,0.96,3864,6,6,0.34,0.029,3
LSTM,403,0.96,3864,6,12,0.39,0.000,3.7
LSTM,404,0.96,3864,6,24,0.27,0.176,2.3
LSTM,405,0.96,3864,6,48,0.33,0.074,3.1
LSTM,406,0.96,3864,6,96,0.28,0.030,2.3
Linear,407,0.96,3864,12,1,0.97,0.000,5.1
LSTM,408,0.96,3864,12,3,0.44,0.059,4.1
LSTM,409,0.96,3864,12,6,0.42,0.000,3.1
LSTM,410,0.96,3864,12,12,0.40,0.000,3.6
LSTM,411,0.96,3864,12,24,0.41,0.000,2.9
LSTM,412,0.96,3864,12,48,0.49,0.000,4.1
LSTM,413,0.96,3864,12,96,0.45,0.592,5
Linear,414,0.96,3864,24,1,0.86,0.000,4.7
LSTM,415,0.96,3864,24,3,0.47,0.000,3.5
LSTM,416,0.96,3864,24,6,0.42,0.000,3.7
LSTM,417,0.96,3864,24,12,0.46,0.000,4
LSTM,418,0.96,3864,24,24,0.40,0.000,3.3
LSTM,419,0.96,3864,24,48,0.45,0.000,3.8
LSTM,420,0.96,3864,24,96,0.44,0.000,3.8
Linear,421,0.96,5152,1,1,0.60,0.015,2.9
LSTM,422,0.96,5152,1,3,0.24,0.015,2.2
LSTM,423,0.96,5152,1,6,0.17,0.132,1.3
LSTM,424,0.96,5152,1,12,0.20,0.205,1.7
LSTM,425,0.96,5152,1,24,0.15,0.161,1.2
LSTM,426,0.96,5152,1,48,0.19,0.176,1.5
LSTM,427,0.96,5152,1,96,0.23,0.000,2.1
Linear,428,0.96,5152,3,1,0.65,0.000,3.3
LSTM,429,0.96,5152,3,3,0.22,0.102,1.8
LSTM,430,0.96,5152,3,6,0.24,0.088,1.9
LSTM,431,0.96,5152,3,12,0.26,0.044,2.3
LSTM,432,0.96,5152,3,24,0.27,0.103,2
LSTM,433,0.96,5152,3,48,0.32,0.073,2.6
LSTM,434,0.96,5152,3,96,0.24,0.089,1.9
Linear,435,0.96,5152,6,1,0.42,0.000,2.8
LSTM,436,0.96,5152,6,3,0.38,0.000,3.6
LSTM,437,0.96,5152,6,6,0.35,0.132,2.9
LSTM,438,0.96,5152,6,12,0.35,0.073,3
LSTM,439,0.96,5152,6,24,0.34,0.015,2.8
LSTM,440,0.96,5152,6,48,0.26,0.088,2.2
LSTM,441,0.96,5152,6,96,0.30,0.104,2.5
Linear,442,0.96,5152,12,1,1.15,0.000,5.6
LSTM,443,0.96,5152,12,3,0.39,0.000,3.3
LSTM,444,0.96,5152,12,6,0.40,0.000,3.7
LSTM,445,0.96,5152,12,12,0.41,0.000,3.5
LSTM,446,0.96,5152,12,24,0.43,0.000,3.6
LSTM,447,0.96,5152,12,48,0.50,0.000,3.2
LSTM,448,0.96,5152,12,96,0.32,0.000,2.7
Linear,449,0.96,5152,24,1,0.81,0.000,4.6
LSTM,450,0.96,5152,24,3,0.43,0.000,3.5
LSTM,451,0.96,5152,24,6,0.41,0.000,3.4
LSTM,452,0.96,5152,24,12,0.44,0.015,3.1
LSTM,453,0.96,5152,24,24,0.42,0.000,3.6
LSTM,454,0.96,5152,24,48,0.43,0.000,3.5
LSTM,455,0.96,5152,24,96,0.46,0.000,3.8
Linear,456,0.96,6440,1,1,0.39,0.058,2
LSTM,457,0.96,6440,1,3,0.17,0.117,1.4
LSTM,458,0.96,6440,1,6,0.18,0.278,1.4
LSTM,459,0.96,6440,1,12,0.24,0.029,1.9
LSTM,460,0.96,6440,1,24,0.17,0.176,1.5
LSTM,461,0.96,6440,1,48,0.18,0.206,1.6
LSTM,462,0.96,6440,1,96,0.19,0.118,1.6
Linear,463,0.96,6440,3,1,0.89,0.000,4.3
LSTM,464,0.96,6440,3,3,0.23,0.132,1.8
LSTM,465,0.96,6440,3,6,0.23,0.132,2
LSTM,466,0.96,6440,3,12,0.29,0.146,2.5
LSTM,467,0.96,6440,3,24,0.25,0.117,1.9
LSTM,468,0.96,6440,3,48,0.24,0.059,1.9
LSTM,469,0.96,6440,3,96,0.27,0.074,2.2
Linear,470,0.96,6440,6,1,0.51,0.000,3
LSTM,471,0.96,6440,6,3,0.34,0.073,3.2
LSTM,472,0.96,6440,6,6,0.33,0.117,3.1
LSTM,473,0.96,6440,6,12,0.35,0.000,2.8
LSTM,474,0.96,6440,6,24,0.28,0.073,2.4
LSTM,475,0.96,6440,6,48,0.32,0.044,2.6
LSTM,476,0.96,6440,6,96,0.30,0.059,2.7
Linear,477,0.96,6440,12,1,1.35,0.000,6.4
LSTM,478,0.96,6440,12,3,0.39,0.000,3.3
LSTM,479,0.96,6440,12,6,0.34,0.000,2.9
LSTM,480,0.96,6440,12,12,0.38,0.015,3.3
LSTM,481,0.96,6440,12,24,0.45,0.000,3.6
LSTM,482,0.96,6440,12,48,0.40,0.000,3.4
LSTM,483,0.96,6440,12,96,0.36,0.015,3.2
Linear,484,0.96,6440,24,1,0.94,0.000,5
